time,growth,interaction,celltype
0.0,-0.012892982,0.7843638,VLMC
0.0,-0.039578,1.4291047,obNBL
0.0,0.029717145,0.58647853,VLMC
0.0,-0.062057257,0.24592845,obNBL
0.0,-0.017539166,0.24592845,VLMC
0.0,-0.021681301,0.7607455,scgnIN
0.0,-0.047248267,0.55639076,VLMC
0.0,0.057382256,0.3947928,VLMC
0.0,-0.020523665,0.74586904,obNBL
0.0,0.0005703699,0.24592845,obNBL
0.0,-0.017651007,0.673371,VLMC
0.0,-0.009933779,0.53062105,nptxEX
0.0,-0.011111628,0.7251001,scgnIN
0.0,-0.027586458,0.582626,obNBL
0.0,0.059960753,0.8455002,scgnIN
0.0,0.021795632,0.45565677,nptxEX
0.0,-0.09255113,0.61712086,nptxEX
0.0,0.15817493,0.7334086,CMPN
0.0,-0.0808879,0.6157905,obNBL
0.0,-0.03609427,0.58204174,obNBL
0.0,-0.07197518,1.0168147,obNBL
0.0,-0.045477323,0.61351186,scgnIN
0.0,0.0048352554,0.74151236,VLMC
0.0,-0.041313708,0.4669188,nptxEX
0.0,-0.071847275,0.8829437,obNBL
0.0,-0.0010313895,0.8996498,scgnIN
0.0,-0.07775366,0.8469841,obNBL
0.0,-0.069568194,0.8516265,MSN
0.0,0.0023943912,1.6222575,VLMC
0.0,-0.006137466,0.4412065,nptxEX
0.0,-0.031462863,0.820878,obNBL
0.0,0.04607389,1.2267032,VLMC
0.0,-0.027630012,0.820258,obNBL
0.0,-0.063308574,0.8033028,obNBL
0.0,-0.06529302,0.545168,MSN
0.0,-0.046379857,0.5949131,scgnIN
0.0,0.038200207,0.24592845,VLMC
