x,y,annotation,total_raw
-0.13511615,0.23814312,Spinal cord,0.0001044471354073
0.4955968,0.8524879,Connective tissue,0.0005295658000595
0.4955968,0.8524879,Connective tissue,0.0005295658000595
-0.33582264,1.3337278,Cavity,0.0008112271263583
0.014911782,1.6482931,Heart,0.0007755651592048
0.9521471,1.0734363,Cavity,0.0008112271263583
0.48413986,3.402469,Brain,0.0001012284220473
0.49360582,0.5321107,Epidermis,0.0011758541459524
0.07191004,3.248625,Brain,0.0001012284220473
1.0653273,2.5685227,Cavity,0.0008112271263583
0.60766286,1.0241028,Connective tissue,0.0005295658000595
0.60766286,1.0241028,Connective tissue,0.0005295658000595
0.054124713,1.5668396,Cavity,0.0008112271263583
-0.07937062,3.1096964,Brain,0.0001012284220473
-0.07937062,3.1096964,Brain,0.0001012284220473
0.46693572,0.8135266,Muscle,0.0004104398933796
0.3817439,0.32225102,Cavity,0.0008112271263583
0.90291685,1.0602549,Cavity,0.0008112271263583
0.8936327,1.2532623,Muscle,0.0004104398933796
0.12607522,0.7777986,Kidney,0.0003902060871215
-0.6728879,3.3701928,Brain,0.0001012284220473
-0.38976416,0.28016555,Dorsal root ganglion,0.0001379120494234
0.21362849,1.2635435,Liver,5.878913334551151e-05
1.1257323,2.3764946,Cavity,0.0008112271263583
0.768035,0.84027135,Muscle,0.0004104398933796
-0.29887494,3.4971926,Brain,0.0001012284220473
-0.29887494,3.4971926,Brain,0.0001012284220473
0.4603117,2.4682984,Cartilage primordium,0.0006583575051392
0.4603117,2.4682984,Cartilage primordium,0.0006583575051392
-0.49439797,0.96320754,GI tract,0.0007179822187211
0.45874405,2.4740446,Cartilage primordium,0.0006583575051392
0.12913348,2.0501325,Muscle,0.0004104398933796
0.34464055,3.354666,Brain,0.0001012284220473
0.34464055,3.354666,Brain,0.0001012284220473
0.92367464,2.6297424,Spinal cord,0.0001044471354073
0.651849,2.7055604,Brain,0.0001012284220473
0.5545588,0.45585063,Cavity,0.0008112271263583
-0.6889489,0.89014655,Connective tissue,0.0005295658000595
-0.14211787,2.258071,Muscle,0.0004104398933796
-0.14211787,2.258071,Muscle,0.0004104398933796
0.27798757,1.9598368,Blood vessel,0.0006281517488686
0.27798757,1.9598368,Blood vessel,0.0006281517488686
-0.71790695,3.4220636,Cavity,0.0008112271263583
1.0371451,1.2797773,Cavity,0.0008112271263583
0.670749,2.337386,Cartilage primordium,0.0006583575051392
0.59225523,2.4507287,Meninges,0.0016867009332845
0.59225523,2.4507287,Meninges,0.0016867009332845
-0.11339675,1.5889577,Liver,5.878913334551151e-05
-0.11339675,1.5889577,Liver,5.878913334551151e-05
-0.28111595,1.2518044,GI tract,0.0007179822187211
-0.22582558,0.44983923,Cartilage primordium,0.0006583575051392
0.3990107,1.1797829,Cavity,0.0008112271263583
0.88081574,2.9692023,Cavity,0.0008112271263583
-0.64859647,1.857316,Jaw and tooth,0.0010585365113058
-0.64859647,1.857316,Jaw and tooth,0.0010585365113058
0.4317087,2.590158,Brain,0.0001012284220473
0.99226016,1.1023041,Epidermis,0.0011758541459524
0.31502584,2.778483,Brain,0.0001012284220473
-0.8265274,1.9229207,Jaw and tooth,0.0010585365113058
-0.8265274,1.9229207,Jaw and tooth,0.0010585365113058
-0.53682864,1.382927,GI tract,0.0007179822187211
-0.53682864,1.382927,GI tract,0.0007179822187211
-0.5609044,3.1446352,Brain,0.0001012284220473
0.5621628,0.44086865,Cavity,0.0008112271263583
-0.16176069,3.4845858,Brain,0.0001012284220473
0.25056085,3.3222523,Brain,0.0001012284220473
0.06353721,2.91033,Brain,0.0001012284220473
0.06353721,2.91033,Brain,0.0001012284220473
0.86349946,1.4725512,Connective tissue,0.0005295658000595
-0.3347838,2.7704275,Brain,0.0001012284220473
0.76430535,2.6507735,Brain,0.0001012284220473
1.0511125,1.6770303,Connective tissue,0.0005295658000595
-0.23249173,1.7177064,Heart,0.0007755651592048
-0.23868792,2.348737,Jaw and tooth,0.0010585365113058
-0.23868792,2.348737,Jaw and tooth,0.0010585365113058
-0.91050714,1.1891909,GI tract,0.0007179822187211
-0.91050714,1.1891909,GI tract,0.0007179822187211
-1.1225128,1.0215445,Epidermis,0.0011758541459524
-0.4806267,1.3887757,GI tract,0.0007179822187211
0.5069288,2.0132995,Mucosal epithelium,0.0004236119567887
1.1258833,1.4962403,Cavity,0.0008112271263583
0.70652425,0.6084678,Epidermis,0.0011758541459524
-0.11191045,3.246246,Brain,0.0001012284220473
0.5803507,2.8035042,Brain,0.0001012284220473
-0.018307986,1.7077291,Heart,0.0007755651592048
0.29596105,0.3951212,Cartilage primordium,0.0006583575051392
0.94267297,1.1194288,Epidermis,0.0011758541459524
0.0025078468,3.2886856,Brain,0.0001012284220473
-0.18177012,2.310677,Muscle,0.0004104398933796
-0.18177012,2.310677,Muscle,0.0004104398933796
-0.47687685,3.3166416,Brain,0.0001012284220473
-0.50031483,2.0899358,Jaw and tooth,0.0010585365113058
0.30668947,1.5442095,Heart,0.0007755651592048
-0.46237892,1.1923645,GI tract,0.0007179822187211
-0.52597743,1.2028792,GI tract,0.0007179822187211
0.08225728,1.0317875,GI tract,0.0007179822187211
-0.37934008,0.94304645,GI tract,0.0007179822187211
0.12376187,1.5354363,Heart,0.0007755651592048
0.9504199,1.8460597,Cartilage primordium,0.0006583575051392
0.9504199,1.8460597,Cartilage primordium,0.0006583575051392
0.057168793,3.2691107,Brain,0.0001012284220473
-0.3825664,0.18019137,Cavity,0.0008112271263583
-1.1143415,2.6416428,Meninges,0.0016867009332845
-0.35283387,1.3133749,Mesentery,0.0007333304561841
-0.3141913,1.3337909,Cavity,0.0008112271263583
0.21697919,0.42827117,Cartilage primordium,0.0006583575051392
0.5179398,2.3051624,Muscle,0.0004104398933796
0.5179398,2.3051624,Muscle,0.0004104398933796
0.43509793,3.371806,Brain,0.0001012284220473
1.1286178,1.8298416,Cavity,0.0008112271263583
-0.7556613,3.300983,Brain,0.0001012284220473
1.1039286,1.306836,Cavity,0.0008112271263583
-0.011851675,1.2607313,Liver,5.878913334551151e-05
-0.8821719,1.1799624,Epidermis,0.0011758541459524
-0.8821719,1.1799624,Epidermis,0.0011758541459524
